Gene	Gene Length (bp)	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
OR10A2	11661		8	7	147	4.8%	No
OR10A6	6677		8	7	147	4.8%	No
OR10H4	6052		8	7	147	4.8%	No
OR10V1	930		8	8	147	5.4%	No
OR1D2	15939		8	8	147	5.4%	No
OR1E2	972		8	8	147	5.4%	No
OR1L1	1083		8	6	147	4.1%	No
OR2S2	1047		8	6	147	4.1%	No
OR2V1	8048		8	6	147	4.1%	No
OR51A2	942		8	8	147	5.4%	No
OR51I2	7196		8	8	147	5.4%	No
OR52H1	4052		8	7	147	4.8%	No
OR52M1	954		8	7	147	4.8%	No
OR52N1	4795		8	8	147	5.4%	No
OR5K2	951		8	8	147	5.4%	No
OR6J1	13424		8	8	147	5.4%	No
ORAI2	23720		8	8	147	5.4%	No
ORC4	91389		8	7	147	4.8%	No
OTUD6A	1723		8	8	147	5.4%	No
OXCT1	140526		8	8	147	5.4%	No
OXGR1	9018		8	7	147	4.8%	No
OXNAD1	85140		8	8	147	5.4%	No
P2RY14	66697		8	7	147	4.8%	No
P4HA2	105222		8	6	147	4.1%	No
PACSIN1	69169		8	8	147	5.4%	No
PAFAH1B1	92434		8	8	147	5.4%	No
PANK1	65746		8	8	147	5.4%	No
PAQR8	46357		8	8	147	5.4%	No
PARVG	46578		8	7	147	4.8%	No
PAXIP1	59438		8	8	147	5.4%	No
PBX4	57026		8	8	147	5.4%	No
PCBP4	16569		8	8	147	5.4%	No
PCDHGC5	23895		8	8	147	5.4%	No
PCGF1	3321		8	7	147	4.8%	No
PCOLCE	5842		8	7	147	4.8%	No
PCSK7	28192		8	8	147	5.4%	Yes
PDE7A	128196		8	8	147	5.4%	No
PDIA6	54600		8	6	147	4.1%	No
PDP2	17166		8	8	147	5.4%	No
PDZD4	28765		8	8	147	5.4%	No
PEX26	27474		8	8	147	5.4%	No
PGBD2	13751		8	7	147	4.8%	No
PHF21A	192155		8	8	147	5.4%	No
PHKG1	13090		8	7	147	4.8%	No
PHYH	24617		8	7	147	4.8%	No
PIGS	18412		8	8	147	5.4%	No
PILRA	32567		8	7	147	4.8%	No
PIM2	5843		8	6	147	4.1%	No
PIP4K2A	179725		8	8	147	5.4%	No
PIP5K1A	51590		8	7	147	4.8%	No
PJA1	4801		8	6	147	4.1%	No
PKMYT1	12790		8	8	147	5.4%	No
PLAAT1	37119		8	8	147	5.4%	No
PLCXD2	171772		8	7	147	4.8%	No
PLEKHA8	103080		8	8	147	5.4%	No
PLEKHM3	204559		8	8	147	5.4%	No
PLRG1	15399		8	8	147	5.4%	No
PNKP	18470		8	7	147	4.8%	No
PNMA6F	4088		8	6	147	4.1%	No
PNMT	2495		8	8	147	5.4%	No
PNO1	18351		8	8	147	5.4%	No
POLDIP3	31246		8	7	147	4.8%	No
POLE2	44868		8	8	147	5.4%	No
POU1F1	17181		8	7	147	4.8%	No
POU2F1	206470		8	8	147	5.4%	No
PPP1R18	11507		8	7	147	4.8%	No
PPP1R3C	4630		8	7	147	4.8%	No
PPP1R42	92506		8	7	147	4.8%	No
PPWD1	24314		8	8	147	5.4%	No
PRAMEF20	10879		8	7	147	4.8%	No
PRKAA1	38986		8	8	147	5.4%	No
PRKCD	36709		8	8	147	5.4%	No
PRMT3	121802		8	7	147	4.8%	No
PROM2	27853		8	7	147	4.8%	No
PRPF19	16057		8	8	147	5.4%	No
PRR11	50978		8	8	147	5.4%	No
PRR5L	169090		8	8	147	5.4%	No
PRSS37	5188		8	7	147	4.8%	No
PRUNE1	27294		8	6	147	4.1%	No
PSG4	14598		8	8	147	5.4%	No
PSMA6	40102		8	7	147	4.8%	No
PSMD1	116272		8	8	147	5.4%	No
PSMD11	38941		8	7	147	4.8%	No
PSMD8	9288		8	8	147	5.4%	No
PTCD1	49425		8	6	147	4.1%	No
PTCD3	35935		8	7	147	4.8%	No
PTGER2	15518		8	7	147	4.8%	No
PVR	22365		8	8	147	5.4%	No
PXN	55357		8	8	147	5.4%	No
QTRT1	12008		8	8	147	5.4%	No
RAB37	76760		8	8	147	5.4%	No
RAB40C	40267		8	7	147	4.8%	No
RAB6B	71648		8	8	147	5.4%	No
RAET1L	7199		8	8	147	5.4%	No
RAP1GDS1	182622		8	8	147	5.4%	Yes
RASGEF1A	72550		8	8	147	5.4%	Yes
RASSF8	121825		8	6	147	4.1%	No
RASSF9	35707		8	4	147	2.7%	No
RAVER1	17337		8	8	147	5.4%	No
RBBP8	228228		8	8	147	5.4%	No
RBM10	42531		8	8	147	5.4%	Yes
RBM43	13924		8	8	147	5.4%	No
RBM45	26627		8	6	147	4.1%	No
RBMXL1	13505		8	7	147	4.8%	No
REPS2	206615		8	6	147	4.1%	No
RFPL4AL1	4303		8	7	147	4.8%	No
RFX7	157824		8	8	147	5.4%	No
RGMA	53941		8	5	147	3.4%	No
RGP1	9988		8	8	147	5.4%	No
RHD	58053		8	8	147	5.4%	No
RHOBTB3	110862		8	8	147	5.4%	No
RIMS3	45012		8	8	147	5.4%	No
RIN2	245966		8	8	147	5.4%	No
RIPPLY2	4156		8	8	147	5.4%	No
RIT2	372502		8	7	147	4.8%	No
RNASE12	1304		8	8	147	5.4%	No
RNF182	55865		8	7	147	4.8%	No
RNF19B	35880		8	7	147	4.8%	No
RNF212	57315		8	8	147	5.4%	No
RNF217	130197		8	8	147	5.4%	No
RNF32	36911		8	8	147	5.4%	No
RNGTT	353730		8	7	147	4.8%	No
RNPS1	15282		8	6	147	4.1%	No
RPA1	70381		8	8	147	5.4%	No
RPLP0	4537		8	7	147	4.8%	No
RPRD1A	83190		8	8	147	5.4%	No
RSAD2	32683		8	8	147	5.4%	No
RSPH10B	45153		8	6	147	4.1%	No
RSPH9	28376		8	7	147	4.8%	No
RSPO4	43921		8	8	147	5.4%	No
RTN2	11762		8	7	147	4.8%	No
RTN4IP1	58728		8	8	147	5.4%	No
RUFY1	59471		8	8	147	5.4%	No
RUVBL2	22422		8	7	147	4.8%	No
SAMM50	55133		8	7	147	4.8%	No
SART1	18449		8	7	147	4.8%	No
SCAMP2	29647		8	8	147	5.4%	No
SCN1B	10009		8	7	147	4.8%	No
SENP3	10051		8	7	147	4.8%	No
SERPINA9	18409		8	8	147	5.4%	No
SERPINB4	6998		8	8	147	5.4%	Yes
SERPINE1	17106		8	8	147	5.4%	No
SFN	1308		8	7	147	4.8%	No
SFXN1	52681		8	8	147	5.4%	No
SGCG	144289		8	8	147	5.4%	No
SGSH	14208		8	7	147	4.8%	No
SH3D21	22973		8	7	147	4.8%	No
SH3GL2	218064		8	7	147	4.8%	No
SHB	153330		8	8	147	5.4%	No
SHC3	173048		8	8	147	5.4%	No
SHISA2	7420		8	8	147	5.4%	No
SHMT2	8382		8	8	147	5.4%	No
SHPK	28011		8	6	147	4.1%	No
SIAH3	74512		8	8	147	5.4%	No
SIRT2	21947		8	8	147	5.4%	No
SIRT7	9385		8	5	147	3.4%	No
SIX3	4370		8	7	147	4.8%	No
SIX5	4468		8	7	147	4.8%	No
SIX6	3705		8	7	147	4.8%	No
SKAP2	328237		8	8	147	5.4%	No
SLC1A1	97245		8	7	147	4.8%	No
SLC1A5	13735		8	8	147	5.4%	No
SLC20A2	126082		8	8	147	5.4%	No
SLC25A25	41077		8	7	147	4.8%	No
SLC25A41	7743		8	7	147	4.8%	No
SLC25A47	7083		8	8	147	5.4%	No
SLC26A10P	6510		8	8	147	5.4%	No
SLC27A4	22778		8	8	147	5.4%	No
SLC2A12	65080		8	8	147	5.4%	No
SLC35D2	70268		8	8	147	5.4%	No
SLC35H1			8	8	147	5.4%	No
SLC38A12			8	7	147	4.8%	No
SLC43A2	60836		8	8	147	5.4%	No
SLC49A3	7573		8	7	147	4.8%	No
SLC60A1			8	6	147	4.1%	No
SLC67A1	25530		8	8	176	4.5%	No
SLC6A6	86785		8	7	147	4.8%	No
SLC7A13	107084		8	7	147	4.8%	No
SLC7A8	58380		8	7	147	4.8%	No
SLC9A8	79530		8	7	147	4.8%	No
SLC9B2	65962		8	8	147	5.4%	No
SLMAP	176012		8	8	147	5.4%	No
SLU7	20071		8	8	147	5.4%	No
SLX4IP	201531		8	6	147	4.1%	No
SMAD3	131411		8	7	176	4.0%	Yes
SMPDL3B	24158		8	8	147	5.4%	No
SNCB	10591		8	8	147	5.4%	No
SNRK	138255		8	8	147	5.4%	No
SNRNP70	23450		8	7	147	4.8%	No
SNW1	43609		8	8	147	5.4%	No
SNX5	27426		8	7	147	4.8%	No
SNX6	69085		8	8	147	5.4%	No
SOCS3	4153		8	7	147	4.8%	Yes
SOD2	93461		8	8	176	4.5%	No
SOX6	773143		8	8	147	5.4%	No
SPAG5	21461		8	7	147	4.8%	No
SPATS2	162199		8	7	147	4.8%	No
SPATS2L	176384		8	6	147	4.1%	No
SPON2	42031		8	8	147	5.4%	No
SPR	4780		8	7	147	4.8%	No
SPTLC3	160132		8	8	147	5.4%	No
SPTY2D1	28389		8	7	147	4.8%	No
SQSTM1	31681		8	8	147	5.4%	Yes
SSBP2	339235		8	7	147	4.8%	No
SSBP4	15700		8	8	147	5.4%	No
SSX2IP	47250		8	8	147	5.4%	No
SSX5	10576		8	8	147	5.4%	No
SSX7	10840		8	7	147	4.8%	No
ST7	277833		8	8	147	5.4%	No
ST7L	97339		8	8	147	5.4%	No
STAM	72701		8	8	147	5.4%	No
STAM2	58971		8	8	147	5.4%	No
STAU2	327340		8	8	147	5.4%	No
STC2	13725		8	7	147	4.8%	No
STIM1	238684		8	7	147	4.8%	No
STMN4	23128		8	8	147	5.4%	No
STRA8	26685		8	6	147	4.1%	No
STRBP	159603		8	8	147	5.4%	No
STT3B	106028		8	8	147	5.4%	No
STXBP2	11102		8	8	147	5.4%	No
STXBP3	62892		8	8	147	5.4%	No
SUCLA2	292233		8	7	147	4.8%	No
SUGT1	48228		8	7	147	4.8%	No
SULT2B1	47254		8	8	147	5.4%	No
SUSD3	26451		8	7	147	4.8%	No
SWI5	40745		8	7	147	4.8%	No
SYNPR	388610		8	6	147	4.1%	No
SYVN1	13968		8	6	147	4.1%	No
TAAR1	15871		8	6	147	4.1%	No
TACR2	13016		8	8	147	5.4%	No
TAF5L	33012		8	8	147	5.4%	No
TARBP2	5511		8	8	176	4.5%	No
TAS2R10	1140		8	7	147	4.8%	No
TAS2R39	1017		8	8	147	5.4%	No
TBC1D13	23200		8	8	147	5.4%	No
TBL1X	277780		8	7	147	4.8%	No
TBRG1	13091		8	7	147	4.8%	No
TCP10L	89407		8	8	147	5.4%	No
TEKT1	42629		8	7	147	4.8%	No
TEKT4	5394		8	7	147	4.8%	No
TENT4A	43755		8	8	147	5.4%	No
TERB1	46981		8	8	147	5.4%	No
TESMIN	44129		8	8	147	5.4%	No
THNSL1	10053		8	8	147	5.4%	No
THOC1	53539		8	8	147	5.4%	No
TLCD3B	28553		8	7	147	4.8%	No
TLK2	156824		8	8	147	5.4%	No
TM7SF3	42929		8	8	147	5.4%	No
TMEM121B	5071		8	7	147	4.8%	No
TMEM145	11756		8	8	147	5.4%	No
TMEM161A	19345		8	8	147	5.4%	No
TMEM181	99000		8	8	147	5.4%	No
TMEM198	7466		8	8	147	5.4%	No
TMEM235	9678		8	6	147	4.1%	No
TMEM237	23387		8	7	147	4.8%	No
TMEM247	4861		8	7	147	4.8%	No
TMEM266	169186		8	6	147	4.1%	No
TMEM267	40225		8	8	147	5.4%	No
TMEM30A	32025		8	8	147	5.4%	Yes
TMEM51	67987		8	8	147	5.4%	No
TMEM63A	38536		8	7	147	4.8%	No
TMEM8B	51068		8	8	147	5.4%	No
TMT1B	2876		8	8	147	5.4%	No
TNFRSF14	11139		8	8	176	4.5%	Yes
TNFSF14	12537		8	7	147	4.8%	No
TNFSF9	4899		8	6	147	4.1%	No
TNIP2	14720		8	7	147	4.8%	No
TNPO2	24811		8	6	147	4.1%	No
TOM1L2	128963		8	8	147	5.4%	No
TOMM40L	7816		8	8	147	5.4%	No
TOP1MT	55596		8	7	147	4.8%	No
TOR2A	3840		8	8	147	5.4%	No
TPGS2	51570		8	7	147	4.8%	No
TRAK1	212267		8	8	147	5.4%	No
TRAM1L1	2023		8	8	147	5.4%	No
TREM2	4699		8	7	147	4.8%	No
TREML1	6387		8	7	147	4.8%	No
TRIB2	25825		8	8	147	5.4%	No
TRIM11	13170		8	8	147	5.4%	No
TRIM23	36286		8	8	147	5.4%	No
TRIM39	18386		8	5	147	3.4%	No
TRIM47	4418		8	6	147	4.1%	No
TRIM5	275425		8	8	147	5.4%	No
TRIM65	16680		8	8	147	5.4%	No
TRIM8	20287		8	8	147	5.4%	No
TRIT1	45402		8	8	147	5.4%	No
TRMT10C	4579		8	7	147	4.8%	No
TRMT61A	15492		8	8	147	5.4%	No
TSHB	4477		8	8	147	5.4%	No
TSPAN15	56527		8	7	147	4.8%	No
TSSK1B	2437		8	7	147	4.8%	No
TSSK2	1315		8	8	147	5.4%	No
TTC23	114904		8	8	147	5.4%	No
TTC4	26823		8	8	147	5.4%	No
TTC7A	160269		8	8	147	5.4%	No
TTLL1	49912		8	8	147	5.4%	No
TTYH1	21686		8	7	147	4.8%	No
TUBA8	36584		8	8	147	5.4%	No
TUBD1	33520		8	8	147	5.4%	No
TXNRD1	134529		8	8	147	5.4%	No
UBA7	8947		8	8	147	5.4%	No
UBC	5765		8	7	147	4.8%	No
UBTFL1	1182		8	6	147	4.1%	No
ULBP1	9773		8	8	147	5.4%	No
ULK3	7231		8	8	147	5.4%	No
UPK2	33396		8	8	147	5.4%	No
USP11	15463		8	7	147	4.8%	No
USP51	5259		8	7	147	4.8%	No
USP53	83391		8	8	147	5.4%	No
UTP15	17938		8	8	147	5.4%	No
UTS2B	63405		8	6	147	4.1%	No
VAC14	113735		8	8	147	5.4%	No
VEZT	85054		8	6	147	4.1%	No
VIP	9844		8	8	147	5.4%	No
VIPAS39	31278		8	8	147	5.4%	No
VLDLR	38875		8	8	147	5.4%	No
VPS33A	36939		8	8	147	5.4%	No
VPS45	78051		8	7	147	4.8%	No
VSTM2L	42240		8	8	147	5.4%	No
VSX2	23290		8	8	147	5.4%	No
WDR12	140538		8	7	147	4.8%	No
WDR37	111727		8	7	147	4.8%	No
WDR38	5867		8	8	147	5.4%	No
WDR41	194642		8	6	147	4.1%	No
WDR5B	4619		8	8	147	5.4%	No
WDR77	9367		8	8	147	5.4%	No
WDR86	34819		8	6	147	4.1%	No
WDR88	43710		8	7	147	4.8%	No
WFDC3	43989		8	8	147	5.4%	No
WIPI2	43659		8	7	147	4.8%	No
WNT5A	24825		8	7	147	4.8%	No
WRAP53	17435		8	7	147	4.8%	No
XKR3	42000		8	8	147	5.4%	No
XPO7	86945		8	7	147	4.8%	No
XPOT	46962		8	6	147	4.1%	No
YBX1	21398		8	8	147	5.4%	No
YIPF7	56708		8	7	147	4.8%	No
ZACN	11706		8	7	147	4.8%	No
ZBTB17	35730		8	7	147	4.8%	No
ZBTB24	22608		8	8	147	5.4%	No
ZBTB26	16000		8	8	147	5.4%	No
ZBTB48	9287		8	8	147	5.4%	No
ZBTB8A	66800		8	6	147	4.1%	No
ZBTB8B	31637		8	7	147	4.8%	No
ZCCHC4	59533		8	8	147	5.4%	No
ZDHHC13	60614		8	7	147	4.8%	No
ZDHHC2	68826		8	8	147	5.4%	No
ZDHHC4	11970		8	8	147	5.4%	No
ZDHHC5	33758		8	7	147	4.8%	No
ZFP41	15885		8	7	147	4.8%	No
ZKSCAN3	19262		8	7	147	4.8%	No
ZMYM5	41434		8	8	147	5.4%	No
ZNF100	44828		8	8	147	5.4%	No
ZNF141	47069		8	7	147	4.8%	No
ZNF182	29525		8	8	147	5.4%	No
ZNF223	16633		8	7	147	4.8%	No
ZNF226	13309		8	8	147	5.4%	No
ZNF232	17894		8	8	147	5.4%	No
ZNF283	24697		8	7	147	4.8%	No
ZNF3	18671		8	8	147	5.4%	No
ZNF304	8628		8	8	147	5.4%	No
ZNF311	11609		8	7	147	4.8%	No
ZNF329	28863		8	8	147	5.4%	No
ZNF33A	54794		8	7	147	4.8%	No
ZNF35	12060		8	7	147	4.8%	No
ZNF417	16315		8	7	147	4.8%	No
ZNF432	64361		8	8	147	5.4%	No
ZNF480	28760		8	7	147	4.8%	No
ZNF540	62774		8	8	147	5.4%	No
ZNF550	24607		8	8	147	5.4%	No
ZNF622	14294		8	8	147	5.4%	No
ZNF653	22413		8	7	147	4.8%	No
ZNF669	4411		8	7	147	4.8%	No
ZNF722	19233		8	7	147	4.8%	No
ZNF77	11754		8	7	147	4.8%	No
ZNF770	11139		8	8	147	5.4%	No
ZNF772	10908		8	8	147	5.4%	No
ZNF773	18490		8	5	147	3.4%	No
ZNF8	23837		8	7	147	4.8%	No
ZNF836	17780		8	8	147	5.4%	No
ZNF853	8943		8	7	147	4.8%	No
ZNF879	11261		8	8	147	5.4%	No
ZSCAN2	26811		8	8	147	5.4%	No
ZSCAN21	15273		8	8	147	5.4%	No
ZWILCH	45172		8	8	147	5.4%	No
A1BG	8315		7	7	147	4.8%	No
AAR2	34788		7	6	147	4.1%	No
AARSD1	14068		7	7	147	4.8%	No
ABHD18	74687		7	7	147	4.8%	No
ABO	42747		7	5	147	3.4%	No
ACAD8	12342		7	7	147	4.8%	No
ACOT6	8944		7	6	147	4.1%	No
ACOT7	129500		7	6	147	4.1%	No
ACSF2	48688		7	7	147	4.8%	No
ACSM6	34730		7	6	147	4.1%	No
ACSS2	55817		7	6	147	4.1%	No
ACTR1B	8176		7	6	147	4.1%	No
ACTR3	72997		7	7	147	4.8%	No
ACTR3B	95630		7	7	147	4.8%	No
ACTR5	24064		7	7	147	4.8%	No
ACTRT3	4056		7	7	147	4.8%	No
ACVR2B	39253		7	7	147	4.8%	No
ADCK2	23377		7	7	147	4.8%	No
ADRA2A	3879		7	6	147	4.1%	No
AGR3	22576		7	6	147	4.1%	No
AHCY	31535		7	7	147	4.8%	No
AICDA	11088		7	6	147	4.1%	No
AIM2	132094		7	7	147	4.8%	Yes
AKAP7	148069		7	7	147	4.8%	No
AKAP8L	39092		7	6	147	4.1%	No
AKR1B1	16936		7	7	147	4.8%	No
AKR1B15	30766		7	7	147	4.8%	No
ALAS1	16500		7	7	147	4.8%	No
ALDOA	6294		7	7	147	4.8%	No
ALG1	53678		7	7	147	4.8%	No
ALG11	66842		7	6	147	4.1%	No
ALG3	7248		7	5	147	3.4%	No
ALKBH1	35620		7	7	147	4.8%	No
ALX1	21565		7	6	147	4.1%	No
AMPD3	199716		7	6	147	4.1%	No
AMTN	14175		7	6	147	4.1%	No
AMZ2	52232		7	7	147	4.8%	No
ANGPT2	63778		7	6	147	4.1%	No
ANGPTL5	25849		7	7	147	4.8%	No
ANKRD6	200720		7	7	147	4.8%	No
ANKRD66	12574		7	7	147	4.8%	No
ANXA7	39631		7	6	176	3.4%	No
AP5S1	17455		7	6	147	4.1%	No
AP5Z1	18783		7	6	147	4.1%	No
APOL6	20019		7	7	147	4.8%	No
AQP7	19504		7	7	147	4.8%	No
ARHGDIA	3660		7	5	147	3.4%	No
ARHGEF4	210350		7	7	147	4.8%	No
ARK2C	136332		7	7	147	4.8%	No
ARL8A	11340		7	7	147	4.8%	No
ARL8B	58663		7	7	147	4.8%	No
ARMCX5	4992		7	7	147	4.8%	No
ARSK	50002		7	7	147	4.8%	No
ARX	12727		7	5	147	3.4%	No
ASB2	45049		7	7	147	4.8%	No
ASF1B	17111		7	6	147	4.1%	No
ASGR2	16438		7	6	147	4.1%	No
ASPDH	3123		7	7	147	4.8%	No
ASS1	59080		7	7	147	4.8%	No
ATAD3B	26093		7	7	147	4.8%	No
ATG13	57568		7	7	147	4.8%	No
ATG16L1	85624		7	7	147	4.8%	No
ATG9A	10338		7	6	147	4.1%	No
ATIC	37818		7	6	176	3.4%	Yes
ATL3	47835		7	7	147	4.8%	No
ATP6V1C2	64011		7	7	147	4.8%	No
ATXN10	173510		7	7	147	4.8%	No
ATXN3	62127		7	7	147	4.8%	No
AUP1	3153		7	7	147	4.8%	No
AVEN	216374		7	7	147	4.8%	No
AWAT2	9447		7	5	147	3.4%	No
B3GNT6	7576		7	6	147	4.1%	No
BACE2	114730		7	6	147	4.1%	No
BARD1	84062		7	7	147	4.8%	Yes
BAX	6984		7	7	147	4.8%	Yes
BBS2	117028		7	6	147	4.1%	No
BBS4	55821		7	7	147	4.8%	No
BCL2L12	9295		7	7	147	4.8%	No
BCL2L13	102008		7	7	147	4.8%	No
BDH1	63607		7	6	147	4.1%	No
BDNF	67166		7	7	147	4.8%	No
BEAN1	66235		7	7	147	4.8%	No
BECN1	23481		7	7	147	4.8%	No
BFSP2	75167		7	5	147	3.4%	No
BICDL1	105572		7	7	147	4.8%	No
BIRC7	4613		7	7	147	4.8%	No
BLK	77706		7	7	147	4.8%	No
BPIFA2	19645		7	7	147	4.8%	No
BST2	2733		7	7	147	4.8%	No
BTBD19	8859		7	7	147	4.8%	No
BTBD3	35887		7	7	147	4.8%	No
BTG4	46842		7	6	147	4.1%	No
C10ORF53	30611		7	6	147	4.1%	No
C10ORF67	142150		7	7	147	4.8%	No
C11ORF86	1733		7	7	147	4.8%	No
C14ORF93	24636		7	7	147	4.8%	No
C15ORF32	29466		7	6	147	4.1%	No
C16ORF90	2006		7	7	147	4.8%	No
C1QTNF7	106350		7	6	147	4.1%	No
C1QTNF8	11176		7	7	147	4.8%	No
C20ORF173	6467		7	6	147	4.1%	No
C3ORF38	19083		7	6	147	4.1%	No
C5ORF52	8626		7	5	147	3.4%	No
C7ORF57	25804		7	7	147	4.8%	No
C8ORF82	3400		7	6	147	4.1%	No
CA1	51407		7	7	147	4.8%	No
CA14	7828		7	7	147	4.8%	No
CACUL1	81083		7	7	147	4.8%	No
CALB1	36868		7	7	147	4.8%	No
CALCB	177346		7	6	147	4.1%	No
CALY	12909		7	6	147	4.1%	No
CANT1	18161		7	7	147	4.8%	Yes
CARNS1	10646		7	6	147	4.1%	No
CATSPER3	43790		7	6	147	4.1%	No
CBARP	11182		7	7	147	4.8%	No
CBX7	32553		7	6	147	4.1%	No
CCDC144NL	2629		7	6	147	4.1%	No
CCDC154	10174		7	7	147	4.8%	No
CCDC188	2640		7	7	147	4.8%	No
CCDC38	75588		7	7	147	4.8%	No
CCDC68	58016		7	5	147	3.4%	No
CCN6	15612		7	7	147	4.8%	Yes
CCNL1	14253		7	6	176	3.4%	No
CCR8	6561		7	7	147	4.8%	No
CCT5	16461		7	5	147	3.4%	No
CCT6B	53220		7	7	147	4.8%	Yes
CCT8	17993		7	7	147	4.8%	No
CD200R1	53899		7	5	147	3.4%	No
CD276	30553		7	6	147	4.1%	Yes
CD300C	11772		7	6	147	4.1%	No
CD300LD	12919		7	6	147	4.1%	No
CD34	30431		7	5	147	3.4%	No
CD36	309746		7	7	147	4.8%	Yes
CD79B	3892		7	7	176	4.0%	Yes
CDC16	37868		7	7	147	4.8%	No
CDC42EP1	14653		7	5	176	2.8%	No
CDC6	16827		7	7	147	4.8%	No
CDCA7	14178		7	6	147	4.1%	No
CDK20	9859		7	6	147	4.1%	No
CDS1	68456		7	7	147	4.8%	No
CDT1	5470		7	7	147	4.8%	No
CEP57L1	79314		7	7	147	4.8%	No
CEP76	40945		7	7	147	4.8%	No
CETP	21923		7	6	147	4.1%	No
CFAP157	9015		7	7	147	4.8%	No
CFAP299	628021		7	5	147	3.4%	No
CGA	9609		7	7	147	4.8%	No
CHADL	11422		7	5	147	3.4%	No
CHCHD7	7124		7	7	147	4.8%	Yes
CLEC17A	28952		7	7	147	4.8%	No
CLEC4D	12892		7	7	147	4.8%	No
CLEC9A	35354		7	6	147	4.1%	No
CLHC1	60017		7	7	147	4.8%	No
CLIC2	58463		7	6	147	4.1%	No
CLK4	27952		7	6	147	4.1%	No
CLOCK	119589		7	7	147	4.8%	No
CLPTM1L	27356		7	6	147	4.1%	No
CMIP	266955		7	7	147	4.8%	No
CMSS1	363896		7	7	147	4.8%	No
CNDP2	29446		7	7	147	4.8%	No
CNNM3	19138		7	7	147	4.8%	No
CNOT10	88737		7	6	147	4.1%	No
CNST	102258		7	7	147	4.8%	No
COG3	71804		7	7	147	4.8%	No
COPB2	35795		7	7	147	4.8%	No
CORO1B	8312		7	7	147	4.8%	No
CPNE1	38926		7	7	147	4.8%	No
CPNE2	55821		7	7	147	4.8%	No
CPNE8	260609		7	7	147	4.8%	No
CPT2	17406		7	7	147	4.8%	No
CREM	86168		7	5	147	3.4%	Yes
CRKL	36341		7	7	176	4.0%	Yes
CRLF1	35522		7	6	147	4.1%	No
CRYZ	31617		7	7	147	4.8%	No
CSAD	23271		7	6	147	4.1%	No
CSF2RA	56595		7	6	147	4.1%	No
CSK	21144		7	7	147	4.8%	No
CST1	3707		7	7	147	4.8%	No
CST9	3508		7	7	147	4.8%	No
CSTF1	13992		7	6	147	4.1%	No
CSTF2	21155		7	5	147	3.4%	No
CTAGE6	2608		7	6	147	4.1%	No
CTDSPL2	101440		7	7	147	4.8%	No
CTHRC1	11453		7	7	147	4.8%	No
CUL3	115248		7	7	147	4.8%	Yes
CUTC	53630		7	7	147	4.8%	No
CWF19L1	35389		7	6	147	4.1%	No
CXADR	80609		7	7	147	4.8%	No
CXCR4	4829		7	6	147	4.1%	Yes
CXXC5	37508		7	6	147	4.1%	No
CYP1A1	5995		7	7	147	4.8%	No
CYP24A1	20541		7	5	147	3.4%	No
CYP26B1	18625		7	7	147	4.8%	No
CYP4V2	23771		7	7	147	4.8%	No
CYTH4	33320		7	7	147	4.8%	No
DAP3	51182		7	6	147	4.1%	No
DAZAP1	28152		7	6	147	4.1%	Yes
DAZL	83515		7	7	147	4.8%	No
DBNL	24829		7	6	147	4.1%	No
DCAF11	11605		7	7	147	4.8%	No
DDX21	28938		7	7	147	4.8%	No
DDX49	9490		7	7	147	4.8%	No
DEFB126	3162		7	6	147	4.1%	No
DEPDC1	23079		7	6	147	4.1%	No
DEPP1	7829		7	6	147	4.1%	No
DGCR2	86182		7	7	147	4.8%	No
DHRS13	5299		7	6	147	4.1%	No
DHX32	60178		7	7	147	4.8%	No
DHX33	28066		7	5	147	3.4%	No
DIO1	19848		7	7	147	4.8%	No
DIPK2A	76897		7	7	147	4.8%	No
DIXDC1	95510		7	6	147	4.1%	No
DKK4	3167		7	7	147	4.8%	Yes
DLK2	6282		7	7	147	4.8%	No
DLL3	9587		7	7	147	4.8%	Yes
DLST	22076		7	7	147	4.8%	No
DMAC2	9400		7	7	147	4.8%	No
DMC1	51307		7	6	147	4.1%	No
DMRTA2	5919		7	6	147	4.1%	No
DMTF1	43929		7	7	147	4.8%	No
DMWD	9899		7	6	147	4.1%	No
DNAJB6	82060		7	7	147	4.8%	No
DNAJC22	11940		7	7	147	4.8%	No
DNASE2	6387		7	6	147	4.1%	No
DOK2	5088		7	7	147	4.8%	No
DOLPP1	9339		7	5	147	3.4%	No
DPH2	3396		7	7	147	4.8%	No
DSN1	22508		7	5	147	3.4%	No
DTNB	296690		7	6	147	4.1%	No
DUSP21	868		7	6	147	4.1%	No
DUSP5	13635		7	6	147	4.1%	No
DYRK1A	160786		7	7	147	4.8%	No
E2F3	91868		7	7	147	4.8%	Yes
EAF2	51344		7	7	147	4.8%	No
EARS2	36978		7	7	147	4.8%	No
EEF1A1	36280		7	7	147	4.8%	No
EEF1G	14492		7	7	147	4.8%	No
EIF2AK1	36985		7	7	147	4.8%	No
EIF2B5	11090		7	7	147	4.8%	No
EIF3E	280710		7	7	147	4.8%	Yes
EIF3G	4942		7	7	147	4.8%	No
EIF3M	22480		7	7	147	4.8%	No
EIF4A3	12783		7	7	147	4.8%	No
ELANE	5297		7	7	147	4.8%	No
ELMO2	66939		7	6	147	4.1%	No
ENG	44103		7	7	147	4.8%	No
ENO3	9087		7	5	147	3.4%	No
